customerId,recommendedProducts
22,21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82|21|8|0|61|15|20|31|47|5|82
23,2|8|21|14|0|12|36|5|38|20|2|8|21|14|0|12|36|5|38|20|2|8|21|14|0|12|36|5|38|20|2|8|21|14|0|12|36|5|38|20|2|8|21|14|0|12|36|5|38|20
24,14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44|14|5|21|8|0|13|15|20|33|44
25,272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44|272|148|5|21|14|8|61|31|33|44
27,8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21|8|1|2|37|38|15|0|170|20|21
28,23|107|2|114|19|1|47|5|224|9
29,21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195|21|5|15|8|19|0|33|61|20|195
30,1|14|8|38|15|5|33|21|36|13|1|14|8|38|15|5|33|21|36|13|1|14|8|38|15|5|33|21|36|13|1|14|8|38|15|5|33|21|36|13|1|14|8|38|15|5|33|21|36|13|1|14|8|38|15|5|33|21|36|13
31,1|2|15|33|13|20|25|21|7|178|1|2|15|33|13|20|25|21|7|178|1|2|15|33|13|20|25|21|7|178|1|2|15|33|13|20|25|21|7|178
32,66|114|2|0|1|62|5|28|7|20|66|114|2|0|1|62|5|28|7|20|66|114|2|0|1|62|5|28|7|20|66|114|2|0|1|62|5|28|7|20|66|114|2|0|1|62|5|28|7|20
33,8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61|8|48|148|14|21|82|19|85|194|61
34,2|5|1|82|14|8|55|13|81|21|2|5|1|82|14|8|55|13|81|21|2|5|1|82|14|8|55|13|81|21|2|5|1|82|14|8|55|13|81|21|2|5|1|82|14|8|55|13|81|21
35,2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67|2|1|7|82|138|21|14|13|70|67
36,48|79|36|2|194|1|21|44|5|15|48|79|36|2|194|1|21|44|5|15|48|79|36|2|194|1|21|44|5|15|48|79|36|2|194|1|21|44|5|15
37,28|16|47|13|130|20|1|173|2|15|28|16|47|13|130|20|1|173|2|15|28|16|47|13|130|20|1|173|2|15|28|16|47|13|130|20|1|173|2|15
38,36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9|36|2|1|194|14|15|21|5|44|9
39,8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33|8|2|38|36|21|20|166|15|9|33
40,8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36|8|2|38|5|1|79|166|104|21|36
41,1|68|7|0|17|2|21|20|269|14|1|68|7|0|17|2|21|20|269|14|1|68|7|0|17|2|21|20|269|14
42,94|173|82|2|188|38|20|67|15|179
43,38|79|36|194|18|2|261|44|21|166|38|79|36|194|18|2|261|44|21|166|38|79|36|194|18|2|261|44|21|166
44,48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44|48|79|21|14|61|7|62|13|9|44
45,1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7|1|33|21|19|15|0|167|8|152|7
46,9|2|1|25|42|64|12|20|148|33
47,1|14|5|33|16|15|8|21|135|12|1|14|5|33|16|15|8|21|135|12|1|14|5|33|16|15|8|21|135|12|1|14|5|33|16|15|8|21|135|12|1|14|5|33|16|15|8|21|135|12
48,1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0|1|14|21|5|15|20|33|8|167|0
49,148|47|44|1|14|8|38|48|167|61|148|47|44|1|14|8|38|48|167|61|148|47|44|1|14|8|38|48|167|61|148|47|44|1|14|8|38|48|167|61
50,2|188|138|116|97|104|1|38|8|21|2|188|138|116|97|104|1|38|8|21|2|188|138|116|97|104|1|38|8|21|2|188|138|116|97|104|1|38|8|21
51,2|1|8|7|20|36|233|21|5|38|2|1|8|7|20|36|233|21|5|38|2|1|8|7|20|36|233|21|5|38|2|1|8|7|20|36|233|21|5|38
52,86|55|1|2|78|15|123|170|173|192|86|55|1|2|78|15|123|170|173|192|86|55|1|2|78|15|123|170|173|192
53,21|5|195|19|166|15|33|61|106|82|21|5|195|19|166|15|33|61|106|82|21|5|195|19|166|15|33|61|106|82|21|5|195|19|166|15|33|61|106|82|21|5|195|19|166|15|33|61|106|82
54,1|14|20|0|5|21|7|18|8|13|1|14|20|0|5|21|7|18|8|13|1|14|20|0|5|21|7|18|8|13|1|14|20|0|5|21|7|18|8|13|1|14|20|0|5|21|7|18|8|13|1|14|20|0|5|21|7|18|8|13
55,5|2|1|61|0|16|40|12|7|20|5|2|1|61|0|16|40|12|7|20|5|2|1|61|0|16|40|12|7|20|5|2|1|61|0|16|40|12|7|20|5|2|1|61|0|16|40|12|7|20|5|2|1|61|0|16|40|12|7|20
56,21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12|21|14|8|5|33|31|61|59|20|12
57,20|2|64|206|47|25|239|21|9|45
58,21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7|21|15|5|0|8|33|20|17|47|7
59,79|36|1|194|14|15|20|61|166|0|79|36|1|194|14|15|20|61|166|0|79|36|1|194|14|15|20|61|166|0|79|36|1|194|14|15|20|61|166|0|79|36|1|194|14|15|20|61|166|0|79|36|1|194|14|15|20|61|166|0
60,1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17|1|8|14|5|21|11|38|19|20|17
61,1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135|1|14|21|15|47|20|8|76|0|135
62,1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62|1|15|8|20|17|43|21|0|11|62
63,33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138|33|21|0|20|8|14|17|47|11|138
64,2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23|2|1|20|62|185|5|13|8|70|23
65,2|258|50|14|1|110|63|268|8|162|2|258|50|14|1|110|63|268|8|162
66,14|1|5|3|33|8|21|17|15|19
67,2|1|7|13|8|61|9|109|97|20|2|1|7|13|8|61|9|109|97|20|2|1|7|13|8|61|9|109|97|20|2|1|7|13|8|61|9|109|97|20|2|1|7|13|8|61|9|109|97|20|2|1|7|13|8|61|9|109|97|20
68,2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31|2|21|17|0|15|7|8|72|14|31
69,36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7|36|79|15|82|19|44|25|33|9|7
70,1|14|33|21|8|15|17|9|16|13|1|14|33|21|8|15|17|9|16|13|1|14|33|21|8|15|17|9|16|13|1|14|33|21|8|15|17|9|16|13|1|14|33|21|8|15|17|9|16|13
71,0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44|0|33|48|15|19|38|148|17|12|44
72,1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20|1|2|23|29|107|21|61|72|8|20
73,8|1|36|14|106|15|82|5|179|44|8|1|36|14|106|15|82|5|179|44|8|1|36|14|106|15|82|5|179|44|8|1|36|14|106|15|82|5|179|44|8|1|36|14|106|15|82|5|179|44
74,2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19|2|5|21|20|148|8|82|33|47|19
75,1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167|1|21|15|33|16|11|7|135|20|167
76,2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15|2|33|7|12|19|14|47|31|56|15
77,1|7|51|0|178|209|114|147|183|101|1|7|51|0|178|209|114|147|183|101
78,37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11|37|2|1|170|97|8|109|148|289|11
79,252|245|172|234|73|240|169|289|35|16
80,2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14|2|15|82|8|61|20|16|0|170|14
81,2|20|47|1|5|63|25|14|139|9|2|20|47|1|5|63|25|14|139|9|2|20|47|1|5|63|25|14|139|9|2|20|47|1|5|63|25|14|139|9|2|20|47|1|5|63|25|14|139|9|2|20|47|1|5|63|25|14|139|9
82,2|1|15|7|4|70|209|25|148|44
83,2|1|8|138|20|38|6|17|51|25|2|1|8|138|20|38|6|17|51|25|2|1|8|138|20|38|6|17|51|25|2|1|8|138|20|38|6|17|51|25|2|1|8|138|20|38|6|17|51|25
84,1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13|1|2|164|0|25|15|12|17|5|13
85,38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19|38|2|1|36|21|194|15|16|61|19
86,2|8|14|1|97|258|91|44|21|9|2|8|14|1|97|258|91|44|21|9
